# t/sec, Shield/Ohm, Probe/Ohm, U/V, I/A
5280, 71.1, 71.4, 17.09, 0.1618
5340, 71.3, 72.0, 17.09, 0.1618
5400, 71.6, 72.5, 17.09, 0.1619
5460, 71.9, 73.0, 17.09, 0.1619
5520, 72.2, 73.5, 17.10, 0.1619
5580, 72.7, 74.0, 17.10, 0.1619
5640, 73.2, 74.5, 17.10, 0.1619
5700, 73.8, 75.0, 17.10, 0.1620
5760, 74.5, 75.5, 17.11, 0.1620
5820, 75.4, 76.0, 17.11, 0.1620
5880, 76.4, 76.5, 17.11, 0.1620
5940, 77.3, 77.1, 17.11, 0.1620
6000, 78.2, 77.6, 17.11, 0.1621
6060, 79.0, 78.2, 17.12, 0.1621
6120, 79.6, 78.7, 17.12, 0.1621
6180, 80.1, 79.3, 17.12, 0.1621
6240, 80.5, 79.8, 17.12, 0.1621
6300, 80.8, 80.4, 17.12, 0.1621
6360, 81.1, 80.9, 17.12, 0.1621
6420, 81.5, 81.4, 17.12, 0.1622
6480, 81.7, 81.9, 17.12, 0.1622
6540, 82.0, 82.4, 17.12, 0.1622
6600, 82.5, 83.0, 17.13, 0.1622
6660, 83.1, 83.4, 17.13, 0.1622
6720, 83.7, 83.9, 17.13, 0.1622
6780, 84.4, 84.5, 17.13, 0.1622
6840, 85.3, 85.0, 17.13, 0.1622
6900, 85.9, 85.5, 17.13, 0.1622
6960, 86.6, 86.0, 17.13, 0.1622
7020, 87.3, 86.6, 17.13, 0.1622
7080, 87.9, 87.1, 17.13, 0.1623
7140, 88.6, 87.6, 17.13, 0.1623
7200, 89.0, 88.2, 17.13, 0.1623
7260, 89.6, 88.8, 17.13, 0.1623
7320, 90.0, 89.3, 17.13, 0.1623
7380, 90.6, 89.9, 17.13, 0.1623
7440, 91.0, 90.4, 17.13, 0.1623
7500, 91.5, 90.9, 17.13, 0.1623
7560, 91.9, 91.4, 17.13, 0.1623
7620, 92.5, 92.0, 17.13, 0.1623
7680, 92.8, 92.5, 17.13, 0.1623
7740, 93.3, 93.0, 17.13, 0.1623
7800, 93.8, 93.5, 17.13, 0.1623
7860, 94.3, 94.0, 17.13, 0.1623
7920, 94.8, 94.6, 17.13, 0.1623
7980, 95.3, 95.0, 17.13, 0.1623
8040, 95.8, 95.5, 17.13, 0.1623
8100, 96.4, 96.1, 17.13, 0.1623
8160, 97.0, 96.6, 17.13, 0.1624
8220, 97.6, 97.1, 17.13, 0.1624
8280, 98.2, 97.6, 17.13, 0.1624
8340, 98.7, 98.2, 17.13, 0.1624
8400, 99.2, 98.7, 17.13, 0.1624
8460, 99.7, 99.2, 17.13, 0.1624
8520, 100.3, 99.7, 17.13, 0.1624
8580, 100.9, 100.3, 17.13, 0.1624
8640, 101.4, 100.9, 17.13, 0.1624
8700, 102.0, 101.3, 17.13, 0.1624
8760, 102.4, 101.8, 17.13, 0.1624
8820, 102.8, 102.4, 17.13, 0.1624
8880, 103.3, 102.9, 17.13, 0.1624
8940, 103.8, 103.4, 17.13, 0.1624
9000, 104.2, 103.9, 17.13, 0.1624
